Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"This Is War","Thirty Seconds To Mars","This Is War","Favoritas","Playlist","USVI20900430","2D52zjCyqEIQa221lhw6uk"
"Take Me Out","Franz Ferdinand","Franz Ferdinand","Favoritas","Playlist","GBCEL0300192","20I8RduZC2PWMWTDCZuuAN"
"Rip & Tear","Mick Gordon","Doom (Original Game Soundtrack)","Favoritas","Playlist","QMTH31600017","5soMJpcVhSrGrB4prvPL6P"
"Doom Theme - Remix","SayMaxWell","Doom Theme (Remix)","Favoritas","Playlist","FR96X1766817","7HmZPTWMa8oeY1kcw5icod"
"Fairy Tail Main Theme (dj-Jo Remix)","dj-Jo","Fairy Tail Main Theme (dj-Jo Remix)","Favoritas","Playlist","USE830923231","62k9LqziKGl7nMeDWsKUO5"
"Keep Hope Alive","The Crystal Method","Vegas","Favoritas","Playlist","USOU19700306","3MmAMXCl5e3oJFMzhpfXkM"
"Hey Boy Hey Girl","The Chemical Brothers","Surrender","Favoritas","Playlist","GBAAA9900303","7kXmJwrZGIhDaLT9sNo3ut"
"James Bond Theme - Moby's Re-version","Moby","I Like To Score","Favoritas","Playlist","USEE10181554","3BPKKzuQTeKLRCVfVaF4BS"
"Maps","Yeah Yeah Yeahs","Fever To Tell (Deluxe Remastered)","Favoritas","Playlist","USIR10300259","0hDQV9X1Da5JrwhK8gu86p"
"Seven Nation Army","The White Stripes","Elephant","Favoritas","Playlist","USVT10300001","3dPQuX8Gs42Y7b454ybpMR"
"Supermassive Black Hole","Muse","Black Holes and Revelations","Favoritas","Playlist","GBAHT0500593","3lPr8ghNDBLc2uZovNyLs9"
"Our Origin","Armin van Buuren","Our Origin","Favoritas","Playlist","NLF711808020","3SeowzTaXWE7YsIvltrFgE"
"Melody","Oliver Heldens","Melody","Favoritas","Playlist","NLZ541500121","5Qxw0150DBPE5HErLTrxgs"
"End of Time","K-391","End of Time","Favoritas","Playlist","NOG842001010","67O8CWXxPsfz8orZVGMQwf"
"Alone","Different Heaven","Alone","Favoritas","Playlist","FR4GL1082996","3mxPq7JaLcYXno1PYw8q71"
"Kick Ass (From the Feature Film)","Superhero","Kick Ass (From the Feature Film)","Favoritas","Playlist","USTCE1074338","2zChXT9D6R0s5UnTWQ2Vz1"
"Living In A Dream","Finger Eleven","Life Turns Electric (BonusTrack Version)","Favoritas","Playlist","USWU31000099","2HaUEu0wAO5AOT0UB3i0LO"
"Wrecked","Imagine Dragons","Wrecked","Favoritas","Playlist","USUM72110166","2d1MywHy6FwKdzxFuSJnwl"
"The Creeps","Garbage","No Gods No Masters","Favoritas","Playlist","GB5KW2003869","2m7QYPE80u17VObkhZU0uy"
"Shy Away - Livestream Version","Twenty One Pilots","Shy Away (Livestream Version)","Favoritas","Playlist","USAT22102707","1IabIaXAoATo0Rc4y8tdlz"
"Minion (Remix)","Djmarkie","Minion (Remix)","Favoritas","Playlist","TCACT1688687","3H02NoVI6OnKSg5u8CLzZd"
"Contrapunto para Humano y Computadora","El Cuarteto De Nos","Contrapunto para Humano y Computadora","Favoritas","Playlist","ARF101900231","3Fy1m7uf0NJI8rjRsDA6sF"
"Walk","Foo Fighters","Wasting Light","Favoritas","Playlist","USRW31100002","76Je5Wklky23mVoxiRszcN"
"Learn to Fly","Foo Fighters","There Is Nothing Left To Lose","Favoritas","Playlist","USRW39900002","5OQsiBsky2k2kDKy2bX2eT"
"Rust, Dust & Guts","Mick Gordon","Doom (Original Game Soundtrack)","Favoritas","Playlist","QMTH31600019","19Ww94Uzf6DTXzRkRUQ3XA"
